French,English
partie,part
chercher,search
seulement,only
police,police
pensais,thought
demande,request
genre,kind
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
parlé,speak
devrait,should
bébé,baby
longtemps,long time
heures,hours
vont,will
pendant,while
revoir,meet again
aucune,any
place,square
parle,speak
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
affaire,case
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
trouve,find
perdu,lost
main,hand
première,first
côté,side
pouvoir,power
sois,be
tiens,here
enfant,child
venu,came
suite,after
pardon,sorry
venez,come
devant,in front of
vers,towards
chambre,bedroom
mis,placed
belle,beautiful
droit,law
mari,husband
cause,cause
enfin,finally
espère,hope
eau,water
attendez,Wait
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
croire,believe
chérie,sweetheart
gros,large
plutôt,rather
aura,will have
jouer,to play
bureau,office
